change;zone_code;zone_name;start_year;end_year;zone_type;zone_population;zone_population_year;zone_area (in km2);zone_predecessor;zone_pollutant;geometry_type;zone_geometry_file;LAU_codes;zone_change_description;time_extension_type
M;NL0210;Amsterdam/Haarlem;2011;;agg;1576878;;891;;"BaP-H;CO-H;NO2-H;O3-H;O3-V;PM10-H;PM2.5-H;SO2-H";G;AreaZoneNL0210.shp; ;;
M;NL0231;Den Haag/    Leiden;2011;;agg;1090933;;461;;"Benzene-H;CO-H;NO2-H;O3-H;O3-V;PM10-H;PM2.5-H;SO2-H";L;;"NL331546;NL332518;NL3331842";;PM10-24h
M;NL0310;Eindhoven;2011;2011;agg;432483;;276;;"CO-H;NO2-H;O3-H;O3-V;PM10-H;PM2.5-H;SO2-H";L;;"NL414772;NL414861";;
;NL0320;Heerlen/   Kerkrade;2011;;agg;234146;;174;;"CO-H;NO2-H;O3-H;O3-V;PM10-H;PM2.5-H;SO2-H";L;;"NL423917;NL423951";;
M;NL0201;Midden;2011;;noagg;5000000;;11850;;"BaP-H;Benzene-H;CO-H;NO2-H;O3-H;O3-V;PM10-H;PM2.5-H;SO2-H";L;;"NL221228;NL2251859;NL226268;NL310310;NL310329;NL310331;NL310632;NL321463;NL326363;NL331575;NL3355944;NL335599";;
M;NL0100;Noord;2011;;noagg;3217705;;18000;;"BaP-H;Benzene-H;CO-H;NO2-H;NOx-V;O3-H;O3-V;PM10-H;PM2.5-H;SO2-H;SO2-V";L;;"NL11314;NL12179;NL122653;NL1321681;NL2111708;NL213153;NL213163;NL230303";;
;NL0241;Rotterdam/ Dordrecht;2011;;agg;1272258;;658;;"BaP-H;CO-H;NO2-H;O3-H;O3-V;PM10-H;PM2.5-H;SO2-H";L;;"NL335599;NL335606;NL335622;NL336505";;
D;NL0221;Utrecht;2011;;agg;481940;;236;;"Benzene-H;CO-H;NO2-H;O3-H;O3-V;PM10-H;PM2.5-H;SO2-H";L;;NL310344;;
;NL0300;Zuid;2011;;noagg;3271519;;9775;;"BaP-H;Benzene-H;CO-H;NO2-H;O3-H;O3-V;PM10-H;PM2.5-H;SO2-H";L;;"NL341715;NL3421676;NL4111709;NL411758;NL411873;NL412798;NL4141706;NL421984;NL4221669";;
