dem_status;station_eoi_code;station_name;component_code;component_name;component_short_name;zone_objective_code1;zone_code1;zone_name1;zone_objective_code2;zone_code2;zone_name2;measurement_code;meas_conf_group;measurement_start_date;measurement_end_date;measurement_method_type;measurement_technique_principle;measurement_equipment;integration_time_frequency;integration_time_unit;height_sampling_point;length_sampling_line;location_sampling_point;sampling_time;sampling_time_unit;calibration_frequency;calibration_unit;calibration_method;calibration_description;body_or_programme
M;NL00631;Biddinghuizen-Hoekwantweg;7;Ozone (air);O3;human/eco;NL0100;Noord;;;;111;111;19901108;20110302;Automatic Analyzer;Ultraviolet (UV) photometry;Thermo model 49w O3 analyser;1;hour;4;3;free air flow;10;second;1;day;uv lamp (ozone generator);;EU EoI+EU EoI
M;NL00631;Biddinghuizen-Hoekwantweg;7;Ozone (air);O3;human/eco;NL0100;Noord;;;;112;111;20110302;;Automatic Analyzer;Ultraviolet (UV) photometry;Thermo model 49i O3 analyser;1;hour;4;3;free air flow;10;second;1;day;uv lamp (ozone generator);;EU EoI+EU EoI
M;NL00633;Zegveld-Oude Meije;7;Ozone (air);O3;human/eco;NL0200;Midden;;;;100;100;19860401;19981008;Automatic Analyzer;Chemiluminescence;UNKNOWN;0;;0;0;;0;;0;;;;
M;NL00633;Zegveld-Oude Meije;7;Ozone (air);O3;human/eco;NL0200;Midden;;;;110;110;19860401;19981008;Automatic Analyzer;Chemiluminescence;PHILIPS PW977100;1;day;350;100;;0;;1;year;unknown;;
M;NL00633;Zegveld-Oude Meije;7;Ozone (air);O3;human/eco;NL0200;Midden;;;;111;111;19901120;20110309;Automatic Analyzer;Ultraviolet (UV) photometry;Thermo model 49w O3 analyser;1;hour;4;3;free air flow;10;second;1;day;uv lamp (ozone generator);;EU EoI+EU EoI
M;NL00633;Zegveld-Oude Meije;7;Ozone (air);O3;human/eco;NL0200;Midden;;;;112;111;20110309;;Automatic Analyzer;Ultraviolet (UV) photometry;Thermo model 49i O3 analyser;1;hour;4;3;free air flow;10;second;1;day;uv lamp (ozone generator);;EU EoI+EU EoI
M;NL00636;Utrecht-de Jongweg;7;Ozone (air);O3;;;;;;;100;100;19871029;19981008;Automatic Analyzer;Chemiluminescence;UNKNOWN;0;;0;0;;0;;0;;;;
M;NL00636;Utrecht-de Jongweg;7;Ozone (air);O3;;;;;;;110;110;19871029;19981008;Automatic Analyzer;Chemiluminescence;PHILIPS PW977100;1;day;350;100;;0;;1;year;unknown;;
M;NL00636;Utrecht-de Jongweg;7;Ozone (air);O3;;;;;;;111;111;19910131;20060119;Automatic Analyzer;Ultraviolet (UV) photometry;Thermo model 49w O3 analyser;1;hour;3;2;pavement;10;second;1;day;uv lamp (ozone generator);;EU EoI+EU EoI
M;NL00637;Utrecht-Wittevrouwenstraat;7;Ozone (air);O3;;;;;;;100;100;19871105;19930101;Automatic Analyzer;Chemiluminescence;UNKNOWN;0;;0;0;;0;;0;;;;
M;NL00638;Utrecht-Vleutenseweg;7;Ozone (air);O3;;;;;;;100;100;19871001;19981008;Automatic Analyzer;Chemiluminescence;PHILIPS PW977100;1;day;350;100;;0;;1;year;unknown;;
M;NL00638;Utrecht-Vleutenseweg;7;Ozone (air);O3;;;;;;;101;101;19910206;20020401;Automatic Analyzer;Ultraviolet (UV) photometry;Thermo model 49w O3 analyser;1;hour;3;2;kerbside;10;second;1;day;uv lamp (ozone generator);;EU EoI+EU EoI
M;NL00639;Utrecht-Erzeijstraat;7;Ozone (air);O3;;;;;;;100;100;19871001;19981008;Automatic Analyzer;Chemiluminescence;PHILIPS PW977100;1;day;350;100;;0;;1;year;unknown;;
M;NL00639;Utrecht-Erzeijstraat;7;Ozone (air);O3;;;;;;;101;101;19910109;20100326;Automatic Analyzer;Ultraviolet (UV) photometry;Thermo model 49w O3 analyser;1;hour;3;2;kerbside;10;second;1;day;uv lamp (ozone generator);;EU EoI+EU EoI
M;NL00639;Utrecht-Erzeijstraat;7;Ozone (air);O3;;;;;;;102;101;20100326;;Automatic Analyzer;Ultraviolet (UV) photometry;Thermo model 49i O3 analyser;1;hour;3;2;kerbside;10;second;1;day;uv lamp (ozone generator);;EU EoI+EU EoI
M;NL00640;Utrecht-Universiteitsbibliotheek;7;Ozone (air);O3;;;;;;;100;100;19871202;19981008;Automatic Analyzer;Chemiluminescence;UNKNOWN;0;;0;0;;0;;0;;;;
M;NL00640;Utrecht-Universiteitsbibliotheek;7;Ozone (air);O3;;;;;;;110;110;19871202;19981008;Automatic Analyzer;Chemiluminescence;PHILIPS PW977100;1;day;350;100;;0;;1;year;unknown;;
M;NL00640;Utrecht-Universiteitsbibliotheek;7;Ozone (air);O3;;;;;;;111;111;19910129;20041002;Automatic Analyzer;Ultraviolet (UV) photometry;Thermo model 49w O3 analyser;1;hour;3;2;courtyard;10;second;1;day;uv lamp (ozone generator);;EU EoI+EU EoI
M;NL00722;Eibergen-Lintveldseweg;7;Ozone (air);O3;human/eco;NL0200;Midden;;;;100;100;19830101;19981008;Automatic Analyzer;Chemiluminescence;UNKNOWN;0;;0;0;;0;;0;;;;
M;NL00722;Eibergen-Lintveldseweg;7;Ozone (air);O3;human/eco;NL0200;Midden;;;;110;110;19830101;19981008;Automatic Analyzer;Chemiluminescence;PHILIPS PW977100;1;day;350;100;;0;;1;year;unknown;;
M;NL00722;Eibergen-Lintveldseweg;7;Ozone (air);O3;human/eco;NL0200;Midden;;;;111;111;19901114;20110315;Automatic Analyzer;Ultraviolet (UV) photometry;Thermo model 49w O3 analyser;1;hour;4;3;free air flow;10;second;1;day;uv lamp (ozone generator);;EU EoI+EU EoI
M;NL00722;Eibergen-Lintveldseweg;7;Ozone (air);O3;human/eco;NL0200;Midden;;;;112;111;20110315;;Automatic Analyzer;Ultraviolet (UV) photometry;Thermo model 49i O3 analyser;1;hour;4;3;free air flow;10;second;1;day;uv lamp (ozone generator);;EU EoI+EU EoI
M;NL00724;Wageningen-Binnenhaven;7;Ozone (air);O3;;;;;;;100;100;19780101;19981008;Automatic Analyzer;Chemiluminescence;UNKNOWN;0;;0;0;;0;;0;;;;
M;NL00724;Wageningen-Binnenhaven;7;Ozone (air);O3;;;;;;;110;110;19780101;19981008;Automatic Analyzer;Chemiluminescence;PHILIPS PW977100;1;day;350;100;;0;;1;year;unknown;;
M;NL00724;Wageningen-Binnenhaven;7;Ozone (air);O3;;;;;;;111;111;19901108;20020423;Automatic Analyzer;Ultraviolet (UV) photometry;Thermo model 49w O3 analyser;1;hour;4;3;free air flow;10;second;1;day;uv lamp (ozone generator);;EU EoI+EU EoI
M;NL00729;Apeldoorn-Arnhemseweg;7;Ozone (air);O3;;;;;;;100;100;19880422;19981008;Automatic Analyzer;Chemiluminescence;UNKNOWN;0;;0;0;;0;;0;;;;
M;NL00729;Apeldoorn-Arnhemseweg;7;Ozone (air);O3;;;;;;;110;110;19880422;19981008;Automatic Analyzer;Chemiluminescence;PHILIPS PW977100;1;day;350;100;;0;;1;year;unknown;;
M;NL00729;Apeldoorn-Arnhemseweg;7;Ozone (air);O3;;;;;;;111;111;19910109;20020401;Automatic Analyzer;Ultraviolet (UV) photometry;Thermo model 49w O3 analyser;1;hour;3;2;kerbside;10;second;1;day;uv lamp (ozone generator);;EU EoI+EU EoI
M;NL00641;Breukelen-Snelweg;7;Ozone (air);O3;human/eco;NL0200;Midden;;;;100;100;19940518;20110331;Automatic Analyzer;Ultraviolet (UV) photometry;Thermo model 49w O3 analyser;1;hour;4;3;pavement;10;second;1;day;uv lamp (ozone generator);;EU EoI+EU EoI
M;NL00641;Breukelen-Snelweg;7;Ozone (air);O3;human/eco;NL0200;Midden;;;;101;100;20110331;;Automatic Analyzer;Ultraviolet (UV) photometry;Thermo model 49i O3 analyser;1;hour;4;3;pavement;10;second;1;day;uv lamp (ozone generator);;EU EoI+EU EoI
