dem_status;station_eoi_code;station_name;component_code;component_name;component_short_name;zone_objective_code1;zone_code1;zone_name1;zone_objective_code2;zone_code2;zone_name2;measurement_code;meas_conf_group;measurement_start_date;measurement_end_date;measurement_method_type;measurement_technique_principle;measurement_equipment;integration_time_frequency;integration_time_unit;height_sampling_point;length_sampling_line;location_sampling_point;sampling_time;sampling_time_unit;calibration_frequency;calibration_unit;calibration_method;calibration_description;body_or_programme
;NL00934;Kollumerwaard-Hooge Zuidwal;7;Ozone (air);O3;human/eco;NL0100;Noord;;;;112;111;20110228;;Automatic Analyzer;Ultraviolet (UV) photometry;Thermo model 49i O3 analyser;1;hour;4;3;free air flow;10;second;1;day;uv lamp (ozone generator);;EU EoI+EEA EuroAirnet+EMEP
;NL00934;Kollumerwaard-Hooge Zuidwal;8;Nitrogen dioxide (air);NO2;human;NL0100;Noord;ozone;NL0100;Noord;112;111;20070312;;Automatic Analyzer;Chemiluminescence;Teledyne API 200E chemiluminescent NOx analyser;1;hour;4;3;free air flow;10;second;1;day;compressed gases;;EU EoI+EEA EuroAirnet+EMEP
;NL00934;Kollumerwaard-Hooge Zuidwal;9;Nitrogen oxides (air);NOX;eco;NL0100;Noord;ozone;NL0100;Noord;102;101;20070312;;Automatic Analyzer;Chemiluminescence;Teledyne API 200E chemiluminescent NOx analyser;1;hour;4;3;free air flow;10;second;1;day;compressed gases;;EMEP
;NL00934;Kollumerwaard-Hooge Zuidwal;10;Carbon monoxide (air);CO;human;NL0100;Noord;;;;101;101;19940101;20140101;Automatic Analyzer;Non-dispersive infrared spectroscopy (NDIR);Thermo model 48w CO analyser;1;hour;4;3;free air flow;10;second;4;day;compressed gases;;EU EoI+EEA EuroAirnet
;NL00934;Kollumerwaard-Hooge Zuidwal;12;Lead (aerosol);Pb;human;NL0100;Noord;;;;102;102;20080101;;Active Sampler;Inductive coupled plasma mass spectrometryscopy (ICP-MS);SVEN LECKEL SEQ47/50;1;day;3;2;free air flow;1;natural day;1;month;standard solution;;
;NL00934;Kollumerwaard-Hooge Zuidwal;14;Cadmium (aerosol);Cd;;;;;;;102;102;20080101;;Active Sampler;Inductive coupled plasma mass spectrometryscopy (ICP-MS);SVEN LECKEL SEQ47/50;1;day;3;2;free air flow;1;natural day;1;month;standard solution;;
;NL00934;Kollumerwaard-Hooge Zuidwal;15;Nickel (aerosol);Ni;;;;;;;101;101;20080101;;Active Sampler;Inductive coupled plasma mass spectrometryscopy (ICP-MS);SVEN LECKEL SEQ47/50;1;day;3;2;free air flow;1;natural day;1;month;standard solution;;
;NL00934;Kollumerwaard-Hooge Zuidwal;18;Arsenic (aerosol);As;;;;;;;101;101;20080101;;Active Sampler;Inductive coupled plasma mass spectrometryscopy (ICP-MS);SVEN LECKEL SEQ47/50;1;day;3;2;free air flow;1;natural day;1;month;standard solution;;
;NL00934;Kollumerwaard-Hooge Zuidwal;36;Wet nitrogen deposition (flux);N-DEP;;;;;;;101;101;20060104;20130101;Active Sampler;UNKNOWN;EIGENBRODT (NSA 181 KHT) - WET ONLY SAMPLER;2;week;2;0;free air flow;1;week;1;month;standard solution;;
;NL00934;Kollumerwaard-Hooge Zuidwal;37;Wet sulphur deposition (flux);S-DEP;;;;;;;101;101;20060104;20130101;Active Sampler;Ion chromatography;EIGENBRODT (NSA 181 KHT) - WET ONLY SAMPLER;2;week;2;0;free air flow;1;week;1;month;standard solution;;
;NL00934;Kollumerwaard-Hooge Zuidwal;38;Nitrogen monoxide (air);NO;;;;;;;112;111;20070312;;Automatic Analyzer;Chemiluminescence;Teledyne API 200E chemiluminescent NOx analyser;1;hour;4;3;free air flow;10;second;1;day;compressed gases;;EU EoI+EEA EuroAirnet+EMEP
;NL00934;Kollumerwaard-Hooge Zuidwal;45;Particulate ammonium (aerosol);NH4;;;;;;;101;101;20090101;20130101;Active Sampler;Continous flow analysis (CFA);SVEN LECKEL SEQ47/50;1;day;3;2;free air flow;1;natural day;1;month;standard solution;;EMEP
;NL00934;Kollumerwaard-Hooge Zuidwal;46;Particulate nitrate (aerosol);NO3;;;;;;;101;101;20090101;20130101;Active Sampler;Ion chromatography;SVEN LECKEL SEQ47/50;1;day;3;2;free air flow;1;natural day;1;month;standard solution;;EMEP
;NL00934;Kollumerwaard-Hooge Zuidwal;47;Particulate sulphate (aerosol);SO4 (H2SO4 aerosols) (SO4--);;;;;;;101;101;20090101;20130101;Active Sampler;Ion chromatography;SVEN LECKEL SEQ47/50;1;day;3;2;free air flow;1;natural day;1;month;standard solution;;EMEP
;NL00934;Kollumerwaard-Hooge Zuidwal;63;Zinc (aerosol);Zn;;;;;;;101;101;20080101;;Active Sampler;Inductive coupled plasma mass spectrometryscopy (ICP-MS);SVEN LECKEL SEQ47/50;1;day;3;2;free air flow;1;natural day;1;month;standard solution;;
;NL00934;Kollumerwaard-Hooge Zuidwal;412;conductivity (precip);k;;;;;;;100;100;19891221;20130101;Active Sampler;Conductimetry;VAN ESSEN - WET ONLY SAMPLER;4;week;2;0;free air flow;2;week;1;month;standard solution;;
;NL00934;Kollumerwaard-Hooge Zuidwal;412;conductivity (precip);k;;;;;;;101;101;19930101;20130101;Active Sampler;Conductimetry;Eigenbrodt NSA181_KS;1;day;2;0;free air flow;1;natural day;1;month;standard solution;;EMEP
;NL00934;Kollumerwaard-Hooge Zuidwal;622;Benzo(ghi)perylene (air+aerosol);Benzo(ghi)perylene;;;;;;;100;100;20090101;;Active Sampler;Gas chromatography + mass spectrometry (GC-MS);SVEN LECKEL SEQ47/50;1;day;3;2;free air flow;1;natural day;1;month;standard solution;;EU EoI+EEA EuroAirnet
;NL00934;Kollumerwaard-Hooge Zuidwal;629;calcium (aerosol);Ca++;;;;;;;101;101;20080101;;Active Sampler;Inductive coupled plasma mass spectrometryscopy (ICP-MS);SVEN LECKEL SEQ47/50;1;day;3;2;free air flow;1;natural day;1;month;standard solution;;
;NL00934;Kollumerwaard-Hooge Zuidwal;630;calcium (precip);Ca++;;;;;;;100;100;19891221;20130101;Active Sampler;Inductive coupled plasma atomic emission spectrometry;VAN ESSEN - WET ONLY SAMPLER;4;week;2;0;free air flow;2;week;1;month;standard solution;;
;NL00934;Kollumerwaard-Hooge Zuidwal;630;calcium (precip);Ca++;;;;;;;101;101;19930101;20130101;Active Sampler;Inductive coupled plasma atomic emission spectrometry;Eigenbrodt NSA181_KS;1;day;2;0;free air flow;1;natural day;1;month;standard solution;;EMEP
;NL00934;Kollumerwaard-Hooge Zuidwal;631;chloride (aerosol);Cl-;;;;;;;101;101;20090101;20130101;Active Sampler;Ion chromatography;SVEN LECKEL SEQ47/50;1;day;3;2;free air flow;1;natural day;1;month;standard solution;;
;NL00934;Kollumerwaard-Hooge Zuidwal;632;chloride (precip);Cl-;;;;;;;100;100;19891221;20130101;Active Sampler;Ion chromatography;VAN ESSEN - WET ONLY SAMPLER;4;week;2;0;free air flow;2;week;1;month;standard solution;;
;NL00934;Kollumerwaard-Hooge Zuidwal;632;chloride (precip);Cl-;;;;;;;101;101;19930101;20130101;Active Sampler;Ion chromatography;Eigenbrodt NSA181_KS;1;day;2;0;free air flow;1;natural day;1;month;standard solution;;EMEP
;NL00934;Kollumerwaard-Hooge Zuidwal;648;acidity(H+) (precip);H+;;;;;;;100;100;19891221;20130101;Active Sampler;Titration;VAN ESSEN - WET ONLY SAMPLER;4;week;2;0;free air flow;2;week;1;month;standard solution;;
;NL00934;Kollumerwaard-Hooge Zuidwal;648;acidity(H+) (precip);H+;;;;;;;101;101;19930101;20130101;Active Sampler;Titration;Eigenbrodt NSA181_KS;1;day;2;0;free air flow;1;natural day;1;month;standard solution;;EMEP
;NL00934;Kollumerwaard-Hooge Zuidwal;658;potassium (precip);K+;;;;;;;100;100;19891221;20130101;Active Sampler;Inductive coupled plasma atomic emission spectrometry;VAN ESSEN - WET ONLY SAMPLER;4;week;2;0;free air flow;2;week;1;month;standard solution;;
;NL00934;Kollumerwaard-Hooge Zuidwal;658;potassium (precip);K+;;;;;;;101;101;19930101;20130101;Active Sampler;Inductive coupled plasma atomic emission spectrometry;Eigenbrodt NSA181_KS;1;day;2;0;free air flow;1;natural day;1;month;standard solution;;EMEP
;NL00934;Kollumerwaard-Hooge Zuidwal;659;magnesium (aerosol);Mg++;;;;;;;100;100;20080101;;Active Sampler;Inductive coupled plasma mass spectrometryscopy (ICP-MS);SVEN LECKEL SEQ47/50;1;day;3;2;free air flow;1;natural day;1;month;standard solution;;
;NL00934;Kollumerwaard-Hooge Zuidwal;660;magnesium (precip);Mg++;;;;;;;100;100;19891221;20130101;Active Sampler;Inductive coupled plasma atomic emission spectrometry;VAN ESSEN - WET ONLY SAMPLER;4;week;2;0;free air flow;2;week;1;month;standard solution;;
;NL00934;Kollumerwaard-Hooge Zuidwal;660;magnesium (precip);Mg++;;;;;;;101;101;19930101;20130101;Active Sampler;Inductive coupled plasma atomic emission spectrometry;Eigenbrodt NSA181_KS;1;day;2;0;free air flow;1;natural day;1;month;standard solution;;EMEP
;NL00934;Kollumerwaard-Hooge Zuidwal;664;ammonium (precip);NH4+;;;;;;;100;100;19891221;20130101;Active Sampler;Continous flow analysis (CFA);VAN ESSEN - WET ONLY SAMPLER;4;week;2;0;free air flow;2;week;1;month;standard solution;;
;NL00934;Kollumerwaard-Hooge Zuidwal;664;ammonium (precip);NH4+;;;;;;;101;101;19930101;20130101;Active Sampler;Continous flow analysis (CFA);Eigenbrodt NSA181_KS;1;day;2;0;free air flow;1;natural day;1;month;standard solution;;EMEP
;NL00934;Kollumerwaard-Hooge Zuidwal;666;nitrate (precip);NO3-;;;;;;;100;100;19891221;20130101;Active Sampler;Ion chromatography;VAN ESSEN - WET ONLY SAMPLER;4;week;2;0;free air flow;2;week;1;month;standard solution;;
;NL00934;Kollumerwaard-Hooge Zuidwal;666;nitrate (precip);NO3-;;;;;;;101;101;19930101;20130101;Active Sampler;Ion chromatography;Eigenbrodt NSA181_KS;1;day;2;0;free air flow;1;natural day;1;month;standard solution;;EMEP
;NL00934;Kollumerwaard-Hooge Zuidwal;668;sodium (aerosol);Na+;;;;;;;100;100;20080101;;Active Sampler;Inductive coupled plasma mass spectrometryscopy (ICP-MS);SVEN LECKEL SEQ47/50;1;day;3;2;free air flow;1;natural day;1;month;standard solution;;
;NL00934;Kollumerwaard-Hooge Zuidwal;669;sodium (precip);Na+;;;;;;;100;100;19891221;20130101;Active Sampler;Inductive coupled plasma atomic emission spectrometry;VAN ESSEN - WET ONLY SAMPLER;4;week;2;0;free air flow;2;week;1;month;standard solution;;
;NL00934;Kollumerwaard-Hooge Zuidwal;669;sodium (precip);Na+;;;;;;;101;101;19930101;20130101;Active Sampler;Inductive coupled plasma atomic emission spectrometry;Eigenbrodt NSA181_KS;1;day;2;0;free air flow;1;natural day;1;month;standard solution;;EMEP
;NL00934;Kollumerwaard-Hooge Zuidwal;719;sulphate (precip);SO4--;;;;;;;100;100;19891221;20130101;Active Sampler;Ion chromatography;VAN ESSEN - WET ONLY SAMPLER;4;week;2;0;free air flow;2;week;1;month;standard solution;;
;NL00934;Kollumerwaard-Hooge Zuidwal;719;sulphate (precip);SO4--;;;;;;;101;101;19930101;20130101;Active Sampler;Ion chromatography;Eigenbrodt NSA181_KS;1;day;2;0;free air flow;1;natural day;1;month;standard solution;;EMEP
;NL00934;Kollumerwaard-Hooge Zuidwal;728;vanadium (precip);Vanadium;;;;;;;100;100;20080101;20130101;Active Sampler;Inductive coupled plasma mass spectrometryscopy (ICP-MS);Eigenbrodt NSA181KHT;1;week;2;0;free air flow;1;week;1;month;standard solution;;EMEP
;NL00934;Kollumerwaard-Hooge Zuidwal;753;precipitation_amount (precip);precip_amount;;;;;;;101;101;19930101;20130101;Active Sampler;Gravimetric analysis;Eigenbrodt NSA181_KS;1;day;2;0;free air flow;1;natural day;1;month;standard solution;;EMEP
;NL00934;Kollumerwaard-Hooge Zuidwal;753;precipitation_amount (precip);precip_amount;;;;;;;102;102;20060104;20130101;Active Sampler;Gravimetric analysis;Eigenbrodt NSA181KHT;1;week;2;0;free air flow;1;week;1;month;standard solution;;EMEP
;NL00934;Kollumerwaard-Hooge Zuidwal;753;precipitation_amount (precip);precip_amount;;;;;;;103;103;20080101;20130101;Active Sampler;Gravimetric analysis;Eigenbrodt NSA181KHT;1;week;2;0;free air flow;1;week;1;month;standard solution;;EU EoI+EEA EuroAirnet+EMEP
;NL00934;Kollumerwaard-Hooge Zuidwal;2012;Lead (precip);Pb;;;;;;;103;103;20060104;20130101;Active Sampler;Inductive coupled plasma mass spectrometryscopy (ICP-MS);Eigenbrodt NSA181KHT;1;week;2;0;free air flow;1;week;1;month;standard solution;;EU EoI+EEA EuroAirnet+EMEP
;NL00934;Kollumerwaard-Hooge Zuidwal;2014;Cadmium (precip);Cd;;;;;;;104;104;20080101;20130101;Active Sampler;Inductive coupled plasma mass spectrometryscopy (ICP-MS);Eigenbrodt NSA181KHT;1;week;2;0;free air flow;1;week;1;month;standard solution;;EU EoI+EEA EuroAirnet+EMEP
;NL00934;Kollumerwaard-Hooge Zuidwal;2015;Nickel (precip);Ni;;;;;;;100;100;20080101;20130101;Active Sampler;Inductive coupled plasma mass spectrometryscopy (ICP-MS);Eigenbrodt NSA181KHT;1;week;2;0;free air flow;1;week;1;month;standard solution;;EU EoI+EEA EuroAirnet+EMEP
;NL00934;Kollumerwaard-Hooge Zuidwal;2016;Chromium (precip);Cr;;;;;;;100;100;20080101;20130101;Active Sampler;Inductive coupled plasma mass spectrometryscopy (ICP-MS);Eigenbrodt NSA181KHT;1;week;2;0;free air flow;1;week;1;month;standard solution;;EMEP
;NL00934;Kollumerwaard-Hooge Zuidwal;2018;Arsenic (precip);As;;;;;;;101;101;20080101;20130101;Active Sampler;Inductive coupled plasma mass spectrometryscopy (ICP-MS);Eigenbrodt NSA181KHT;1;week;2;0;free air flow;1;week;1;month;standard solution;;EU EoI+EEA EuroAirnet+EMEP
;NL00934;Kollumerwaard-Hooge Zuidwal;2063;Zinc (precip);Zn;;;;;;;102;102;20060104;20130101;Active Sampler;Inductive coupled plasma mass spectrometryscopy (ICP-MS);Eigenbrodt NSA181KHT;1;week;2;0;free air flow;1;week;1;month;standard solution;;EU EoI+EEA EuroAirnet+EMEP
;NL00934;Kollumerwaard-Hooge Zuidwal;2064;Cobalt (precip);Co;;;;;;;100;100;20080101;20130101;Active Sampler;Inductive coupled plasma mass spectrometryscopy (ICP-MS);Eigenbrodt NSA181KHT;1;week;2;0;free air flow;1;week;1;month;standard solution;;EMEP
;NL00934;Kollumerwaard-Hooge Zuidwal;2065;Iron (precip);Fe;;;;;;;101;101;20060104;20130101;Active Sampler;Inductive coupled plasma mass spectrometryscopy (ICP-MS);Eigenbrodt NSA181KHT;1;week;2;0;free air flow;1;week;1;month;standard solution;;EU EoI+EEA EuroAirnet+EMEP
;NL00934;Kollumerwaard-Hooge Zuidwal;2073;Copper (precip);Cu;;;;;;;101;101;20060104;20130101;Active Sampler;Inductive coupled plasma mass spectrometryscopy (ICP-MS);Eigenbrodt NSA181KHT;1;week;2;0;free air flow;1;week;1;month;standard solution;;EU EoI+EEA EuroAirnet+EMEP
;NL00934;Kollumerwaard-Hooge Zuidwal;2076;acidity(pH) (precip);pH;;;;;;;100;100;19891221;20130101;Active Sampler;Titration;VAN ESSEN - WET ONLY SAMPLER;4;week;2;0;free air flow;2;week;1;month;standard solution;;
;NL00934;Kollumerwaard-Hooge Zuidwal;2076;acidity(pH) (precip);pH;;;;;;;101;101;19930101;20130101;Active Sampler;Titration;Eigenbrodt NSA181_KS;1;day;2;0;free air flow;1;natural day;1;month;standard solution;;EMEP
;NL00934;Kollumerwaard-Hooge Zuidwal;4406;chrysene (air+aerosol);Chrysene;;;;;;;100;100;20090101;;Active Sampler;Gas chromatography + mass spectrometry (GC-MS);SVEN LECKEL SEQ47/50;1;day;3;2;free air flow;1;natural day;1;month;standard solution;;EU EoI+EEA EuroAirnet
;NL00934;Kollumerwaard-Hooge Zuidwal;5029;Benzo(a)pyrene in PM10 (aerosol);BaP in PM10;human;NL0100;Noord;;;;100;100;20090101;;Active Sampler;Gas chromatography + mass spectrometry (GC-MS);SVEN LECKEL SEQ47/50;1;day;3;2;free air flow;1;natural day;1;month;standard solution;;EU EoI+EEA EuroAirnet
;NL00934;Kollumerwaard-Hooge Zuidwal;5380;Benzo(bjk)fluoranthene in PM10 (aerosol);Benzo(bjk)fluoranthene in PM10;;;;;;;100;100;20090101;;Active Sampler;Gas chromatography + mass spectrometry (GC-MS);SVEN LECKEL SEQ47/50;1;day;3;2;free air flow;1;natural day;1;month;standard solution;;EU EoI+EEA EuroAirnet
;NL00934;Kollumerwaard-Hooge Zuidwal;5419;Dibenzo(ah)anthracene in PM10 (aerosol);Dibenzo(ah)anthracene in PM10;;;;;;;100;100;20090101;;Active Sampler;Gas chromatography + mass spectrometry (GC-MS);SVEN LECKEL SEQ47/50;1;day;3;2;free air flow;1;natural day;1;month;standard solution;;EU EoI+EEA EuroAirnet
;NL00934;Kollumerwaard-Hooge Zuidwal;5610;Benzo(a)anthracene in PM10 (aerosol);Benzo(a)anthracene in PM10;;;;;;;100;100;20090101;;Active Sampler;Gas chromatography + mass spectrometry (GC-MS);SVEN LECKEL SEQ47/50;1;day;3;2;free air flow;1;natural day;1;month;standard solution;;EU EoI+EEA EuroAirnet
;NL00934;Kollumerwaard-Hooge Zuidwal;5655;indeno_123cd_pyrene in PM10 (aerosol);Indeno(123-cd)pyrene in PM10;;;;;;;100;100;20090101;;Active Sampler;Gas chromatography + mass spectrometry (GC-MS);SVEN LECKEL SEQ47/50;1;day;3;2;free air flow;1;natural day;1;month;standard solution;;EU EoI+EEA EuroAirnet
;NL00934;Kollumerwaard-Hooge Zuidwal;6001;Particulate matter < 2.5 µm (aerosol);PM2.5;human;NL0100;Noord;;;;100;100;20080101;;Active Sampler;Gravimetric analysis;DERENDA;1;day;3;2;free air flow;1;natural day;3;month;flow rate check;;EU EoI+EEA EuroAirnet
;NL00131;Vredepeel-Vredeweg;5;Particulate matter < 10 µm (aerosol);PM10;human;NL0300;Zuid;;;;101;100;20030805;;Automatic Analyzer;Beta ray attenuation;Thermo Andersen ESM FH 62 I-R;1;hour;3;2;free air flow;1;hour;3;month;calibration filter;;EU EoI+EEA EuroAirnet
;NL00131;Vredepeel-Vredeweg;6;Black smoke (air);BS;;;;;;;112;112;20001212;;Automatic Analyzer;Reflectometry;SX200;1;day;3;3;free air flow;1;natural day;6;month;reference measurement meth.;;EU EoI+EEA EuroAirnet+EMEP
;NL00131;Vredepeel-Vredeweg;7;Ozone (air);O3;human/eco;NL0300;Zuid;;;;112;111;20110307;;Automatic Analyzer;Ultraviolet (UV) photometry;Thermo model 49i O3 analyser;1;hour;4;3;free air flow;10;second;1;day;uv lamp (ozone generator);;EU EoI+EEA EuroAirnet+EMEP
;NL00131;Vredepeel-Vredeweg;8;Nitrogen dioxide (air);NO2;human;NL0300;Zuid;ozone;NL0300;Zuid;112;111;20070209;;Automatic Analyzer;Chemiluminescence;Teledyne API 200E chemiluminescent NOx analyser;1;hour;4;3;free air flow;10;second;1;day;compressed gases;;EU EoI+EEA EuroAirnet+EMEP
;NL00131;Vredepeel-Vredeweg;9;Nitrogen oxides (air);NOX;ozone;NL0300;Zuid;;;;102;101;20070209;;Automatic Analyzer;Chemiluminescence;Teledyne API 200E chemiluminescent NOx analyser;1;hour;4;3;free air flow;10;second;1;day;compressed gases;;EMEP
;NL00131;Vredepeel-Vredeweg;12;Lead (aerosol);Pb;human;NL0300;Zuid;;;;101;101;20080101;;Active Sampler;Inductive coupled plasma mass spectrometryscopy (ICP-MS);SVEN LECKEL SEQ47/50;1;day;3;2;free air flow;1;natural day;1;month;standard solution;;
;NL00131;Vredepeel-Vredeweg;14;Cadmium (aerosol);Cd;;;;;;;101;101;20080101;;Active Sampler;Inductive coupled plasma mass spectrometryscopy (ICP-MS);SVEN LECKEL SEQ47/50;1;day;3;2;free air flow;1;natural day;1;month;standard solution;;
