change;zone_code;zone_name;start_year;end_year;zone_type;zone_population;zone_population_year;zone_area (in km2);zone_predecessor;zone_pollutant;geometry_type;zone_geometry_file;LAU_codes;zone_change_description;time_extension_type
;NL0210;Amsterdam/Haarlem;2001;;agg;1604719;;891;;"As-H;BaP-H;Benzene-H;Cd-H;CO-H;Ni-H;NO2-H;O3-H;O3-V;Pb-H;PM10-H;PM2.5-H;SO2-H";G;airquality_zone_agglomeration_v2013.shp;;;NO2-annual          
;NL0231;Den Haag/ Leiden vanaf 2013;2013;;agg;1121120;2013;461;NL0230;"As-H;BaP-H;Benzene-H;Cd-H;CO-H;Ni-H;NO2-H;O3-H;O3-V;Pb-H;PM10-H;PM2.5-H;SO2-H";G;airquality_zone_agglomeration_v2013.shp;;change of municipalitie boundaries in agglomeration;NO2-annual          
;NL0310;Eindhoven;2001;;agg;435913;;276;;"As-H;BaP-H;Benzene-H;Cd-H;CO-H;Ni-H;NO2-H;O3-H;O3-V;Pb-H;PM10-H;PM2.5-H;SO2-H";G;airquality_zone_agglomeration_v2013.shp;;;NO2-annual          
;NL0320;Heerlen/   Kerkrade;2001;;agg;231574;;174;;"As-H;BaP-H;Benzene-H;Cd-H;CO-H;Ni-H;NO2-H;O3-H;O3-V;Pb-H;PM10-H;PM2.5-H;SO2-H";G;airquality_zone_agglomeration_v2013.shp;;;none                
;NL0201;Midden vanaf 2013;2013;;noagg;4999395;2013;11881;NL0200;"As-H;BaP-H;Benzene-H;Cd-H;CO-H;Ni-H;NO2-H;O3-H;O3-V;Pb-H;PM10-H;PM2.5-H;SO2-H";G;airquality_zone_agglomeration_v2013.shp;;change of municipalitie boundaries in agglomeration;NO2-annual          
;NL0100;Noord;2001;;noagg;3235377;;17222;;"As-H;BaP-H;Benzene-H;Cd-H;CO-H;Ni-H;NO2-H;NOx-V;O3-H;O3-V;Pb-H;PM10-H;PM2.5-H;SO2-H;SO2-V";G;airquality_zone_agglomeration_v2013.shp;;;NO2-annual          
;NL0241;Rotterdam/ Dordrecht vanaf 2013;2013;;agg;1298830;2013;658;NL0240;"As-H;BaP-H;Benzene-H;Cd-H;CO-H;Ni-H;NO2-H;O3-H;O3-V;Pb-H;PM10-H;PM2.5-H;SO2-H";G;airquality_zone_agglomeration_v2013.shp;;change of municipalitie boundaries in agglomeration;NO2-annual          
;NL0221;Utrecht vanaf 2013;2013;;agg;459575;2013;205;NL0220;"As-H;BaP-H;Benzene-H;Cd-H;CO-H;Ni-H;NO2-H;O3-H;O3-V;Pb-H;PM10-H;PM2.5-H;SO2-H";G;airquality_zone_agglomeration_v2013.shp;;change of municipalitie boundaries in agglomeration;NO2-annual          
;NL0300;Zuid;2001;;noagg;3278844;;9775;;"As-H;BaP-H;Benzene-H;Cd-H;CO-H;Ni-H;NO2-H;O3-H;O3-V;Pb-H;PM10-H;PM2.5-H;SO2-H";G;airquality_zone_agglomeration_v2013.shp;;;NO2-annual          
