GMLID,LocalId,Namespace,Version,NatlStationCode,Name,Municipality,EUStationCode,ActivityBegin,ActivityEnd,Lat,Lon,SRSName,Altitude,AltitudeUnit,AreaClassification,BelongsTo
STA-NL00544,STA-NL00544,NL.RIVM.AQ,,544,Amsterdam-Prins Bernhardplein,,NL00544,2004-12-22 00:00:00+01:00,2011-12-27 00:00:00+01:00,52.348572,4.919536,urn:ogc:def:crs:EPSG:4258,7,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,
STA-NL00240,STA-NL00240,NL.RIVM.AQ,,240,Breda-Tilburgseweg,,NL00240,2005-04-26 00:00:00+01:00,,51.59360886,4.82500839,urn:ogc:def:crs:EPSG:4258,4,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban,
STA-NL00241,STA-NL00241,NL.RIVM.AQ,,241,Breda-Bastenakenstraat,Breda,NL00241,2005-02-22 00:00:00+01:00,,51.60333252,4.78084707,urn:ogc:def:crs:EPSG:4258,1,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban,
STA-NL00446,STA-NL00446,NL.RIVM.AQ,,446,Den Haag-Bleriotlaan,'s-Gravenhage,NL00446,2005-12-05 00:00:00+01:00,,52.03972244,4.36056376,urn:ogc:def:crs:EPSG:4258,-2,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban,
STA-NL00448,STA-NL00448,NL.RIVM.AQ,,448,Rotterdam-Bentinckplein,Rotterdam,NL00448,2005-04-15 00:00:00+01:00,,51.92694473,4.46167755,urn:ogc:def:crs:EPSG:4258,2,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,
STA-NL00938,STA-NL00938,NL.RIVM.AQ,,938,Groningen-Nijensteinheerd,Groningen,NL00938,2005-06-29 00:00:00+01:00,,53.24694443,6.60889721,urn:ogc:def:crs:EPSG:4258,-1,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban,
STA-NL00540,STA-NL00540,NL.RIVM.AQ,,540,Leiduin,,NL00540,1986-12-03 00:00:00+01:00,1993-12-31 00:00:00+01:00,52.346111,4.598069,urn:ogc:def:crs:EPSG:4258,3,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/rural(-regional),
STA-NL00002,STA-NL00002,NL.RIVM.AQ,,2,Amsterdam-Haarlemmerweg,,NL00002,1997-01-01 00:00:00+01:00,,52.38500214,4.87611961,urn:ogc:def:crs:EPSG:4258,4,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,
STA-NL00003,STA-NL00003,NL.RIVM.AQ,,3,Amsterdam-Nieuwendammerdijk,,NL00003,1987-01-01 00:00:00+01:00,,52.38888931,4.94389725,urn:ogc:def:crs:EPSG:4258,1,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,
STA-NL00007,STA-NL00007,NL.RIVM.AQ,,7,Amsterdam-Einsteinweg,,NL00007,1999-01-01 00:00:00+01:00,,52.38111115,4.84501123,urn:ogc:def:crs:EPSG:4258,2,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,
STA-NL00012,STA-NL00012,NL.RIVM.AQ,,12,Amsterdam-Van Diemenstraat,,NL00012,1990-01-01 00:00:00+01:00,,52.3900032,4.88805819,urn:ogc:def:crs:EPSG:4258,4,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,
STA-NL00014,STA-NL00014,NL.RIVM.AQ,,14,Amsterdam-Vondelpark,,NL00014,1990-01-01 00:00:00+01:00,,52.3599968,4.8088975,urn:ogc:def:crs:EPSG:4258,2,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,
STA-NL00016,STA-NL00016,NL.RIVM.AQ,,16,Amsterdam-Westerpark,,NL00016,1999-01-01 00:00:00+01:00,,52.39305878,4.87000275,urn:ogc:def:crs:EPSG:4258,3,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,
STA-NL00017,STA-NL00017,NL.RIVM.AQ,,17,Amsterdam-Stadhouderskade,,NL00017,1999-01-01 00:00:00+01:00,,52.35805511,4.9000001,urn:ogc:def:crs:EPSG:4258,4,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,
STA-NL00018,STA-NL00018,NL.RIVM.AQ,,18,Amsterdam-A10zuid,,NL00018,2003-12-01 00:00:00+01:00,,52.33388901,4.89806938,urn:ogc:def:crs:EPSG:4258,10,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,
STA-NL00545,STA-NL00545,NL.RIVM.AQ,,545,Amsterdam-A10 west,,NL00545,2007-04-01 00:00:00+01:00,,52.33949661,4.84102249,urn:ogc:def:crs:EPSG:4258,1,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,
STA-NL00019,STA-NL00019,NL.RIVM.AQ,,19,Amsterdam-Oude Schans,,NL00019,2007-01-03 00:00:00+01:00,,52.3730545,4.90500307,urn:ogc:def:crs:EPSG:4258,2,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,
STA-NL00020,STA-NL00020,NL.RIVM.AQ,,20,Amsterdam-Jan van Galenstraat,,NL00020,2007-01-01 00:00:00+01:00,,52.3758316,4.86084175,urn:ogc:def:crs:EPSG:4258,4,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,
STA-NL00021,STA-NL00021,NL.RIVM.AQ,,21,Amsterdam-Kantershof (Zuid Oost),,NL00021,2007-02-07 00:00:00+01:00,,52.32138824,4.98889446,urn:ogc:def:crs:EPSG:4258,-3,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,
STA-NL00022,STA-NL00022,NL.RIVM.AQ,,22,Amsterdam-Sportpark Ookmeer (Osdorp),,NL00022,2007-01-20 00:00:00+01:00,,52.37888718,4.79361963,urn:ogc:def:crs:EPSG:4258,-1,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,
STA-NL00701,STA-NL00701,NL.RIVM.AQ,,701,Zaandam-Wagenschotpad,,NL00701,2006-05-01 00:00:00+01:00,,52.45000076,4.8166666,urn:ogc:def:crs:EPSG:4258,1,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,
STA-NL00246,STA-NL00246,NL.RIVM.AQ,,246,Fijnaart-Zwingelspaansedijk,Moerdijk,NL00246,2007-10-05 00:00:00+01:00,,51.65277863,4.51388884,urn:ogc:def:crs:EPSG:4258,1,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/rural,
STA-NL00643,STA-NL00643,NL.RIVM.AQ,,643,Utrecht-Griftpark,Utrecht,NL00643,2009-01-01 00:00:00+01:00,,52.10222244,5.12833357,urn:ogc:def:crs:EPSG:4258,2,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,
STA-NL00242,STA-NL00242,NL.RIVM.AQ,,242,Veldhoven-Rapportstraat,,NL00242,2008-12-31 00:00:00+01:00,2009-06-25 00:00:00+01:00,51.408056,5.397222,urn:ogc:def:crs:EPSG:4258,24,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,
STA-NL00247,STA-NL00247,NL.RIVM.AQ,,247,Veldhoven-Europalaan,Veldhoven,NL00247,2009-04-01 00:00:00+01:00,,51.40750122,5.39333344,urn:ogc:def:crs:EPSG:4258,22,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,
STA-NL00820,STA-NL00820,NL.RIVM.AQ,,820,Enschede-Espoortstraat,,NL00820,2008-12-24 00:00:00+01:00,2010-08-19 00:00:00+01:00,52.2175,6.909444,urn:ogc:def:crs:EPSG:4258,20,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,
STA-NL00553,STA-NL00553,NL.RIVM.AQ,,553,Wijk aan Zee-Burgemeester Rothestraat,,NL00553,2010-01-01 00:00:00+01:00,,52.493889,4.603333,urn:ogc:def:crs:EPSG:4258,7,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,
STA-NL00485,STA-NL00485,NL.RIVM.AQ,,HGV,Hoogvliet-Leemkuil,,NL00485,1974-01-01 00:00:00+01:00,,51.86610794,4.35527754,urn:ogc:def:crs:EPSG:4258,1,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,
STA-NL00494,STA-NL00494,NL.RIVM.AQ,,SDM,Schiedam-Alphons Arienstraat,,NL00494,1974-01-01 00:00:00+01:00,,51.921111,4.401389,urn:ogc:def:crs:EPSG:4258,3,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,
STA-NL00470,STA-NL00470,NL.RIVM.AQ,,BAM,Bergambacht-Provincialeweg,Bergambacht,NL00470,1993-02-10 00:00:00+01:00,,51.92805862,4.77083302,urn:ogc:def:crs:EPSG:4258,0,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/rural,
STA-NL00471,STA-NL00471,NL.RIVM.AQ,,KSL,Korendijk-Bakkerskeet,Korendijk,NL00471,1990-06-30 00:00:00+01:00,,51.76305389,4.27750015,urn:ogc:def:crs:EPSG:4258,0,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/rural,
STA-NL00472,STA-NL00472,NL.RIVM.AQ,,NKP,Nieuwkoop-Voorweg,Nieuwkoop,NL00472,1990-06-30 00:00:00+01:00,,52.16611099,4.85222197,urn:ogc:def:crs:EPSG:4258,0,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/rural,
STA-NL00473,STA-NL00473,NL.RIVM.AQ,,ROC,Rockanje-Middelweg,Westvoorne,NL00473,1990-06-30 00:00:00+01:00,,51.89500046,4.07416677,urn:ogc:def:crs:EPSG:4258,0,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/rural,
STA-NL00474,STA-NL00474,NL.RIVM.AQ,,OST,Oostvoorne-Strandweg,,NL00474,1982-01-01 00:00:00+01:00,,51.91694641,4.084167,urn:ogc:def:crs:EPSG:4258,0,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/unknown,
STA-NL00475,STA-NL00475,NL.RIVM.AQ,,VLE,Vlaardingen-Deltaweg,,NL00475,1975-01-01 00:00:00+01:00,,51.9011116,4.34027815,urn:ogc:def:crs:EPSG:4258,0,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/unknown,
STA-NL00476,STA-NL00476,NL.RIVM.AQ,,VLT,Vlaardingen-Trawlerweg,Vlaardingen,NL00476,1975-01-01 00:00:00+01:00,,51.9011116,4.31777763,urn:ogc:def:crs:EPSG:4258,0,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/unknown,
STA-NL00477,STA-NL00477,NL.RIVM.AQ,,VLZ,Vlaardingen-Zuidbuurt 34,Vlaardingen,NL00477,1975-01-01 00:00:00+01:00,,51.91111374,4.29638863,urn:ogc:def:crs:EPSG:4258,0,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/unknown,
STA-NL00478,STA-NL00478,NL.RIVM.AQ,,VLG,Vlaardingen-Deltapad G.L.,Vlaardingen,NL00478,1999-12-13 00:00:00+01:00,,51.89889145,4.30472231,urn:ogc:def:crs:EPSG:4258,0,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/unknown,
