538,o3_the1,O3,2015-09-16 10:00:00,2015-09-16 11:00:00,36.43,132294,535208,regio achtergr
631,o3_the1,O3,2015-09-16 10:00:00,2015-09-16 11:00:00,33.21,170773,495685,regio achtergr
633,o3_the1,O3,2015-09-16 10:00:00,2015-09-16 11:00:00,24.02,117414,461226,regio achtergr
639,o3_the1,O3,2015-09-16 10:00:00,2015-09-16 11:00:00,17.65,136713,453307,stad verkeer
641,o3_the1,O3,2015-09-16 10:00:00,2015-09-16 11:00:00,21.73,127671,468233,regio verkeer
722,o3_the1,O3,2015-09-16 10:00:00,2015-09-16 11:00:00,37.58,238480,456650,regio achtergr
738,o3_the1,O3,2015-09-16 10:00:00,2015-09-16 11:00:00,32.5,177004,458203,regio achtergr
742,o3_the1,O3,2015-09-16 10:00:00,2015-09-16 11:00:00,36.88,187374,427841,stad achtergr
807,o3_the1,O3,2015-09-16 10:00:00,2015-09-16 11:00:00,37.82,224146,489420,regio achtergr
818,o3_the1,O3,2015-09-16 10:00:00,2015-09-16 11:00:00,31.68,197655,518704,regio achtergr
918,o3_the1,O3,2015-09-16 10:00:00,2015-09-16 11:00:00,33.77,167530,547775,regio achtergr
929,o3_the1,O3,2015-09-16 10:00:00,2015-09-16 11:00:00,43.86,259029,544288,regio achtergr
934,o3_the1,O3,2015-09-16 10:00:00,2015-09-16 11:00:00,31.3,214268,594143,regio achtergr
938,o3_the1,O3,2015-09-16 10:00:00,2015-09-16 11:00:00,31.82,236553,585132,vrstad achtergr
131,pm_fh621,PM10,2015-09-16 10:00:00,2015-09-16 11:00:00,7.576666666666666,187319,394720,regio achtergr
133,pm_fh621,PM10,2015-09-16 10:00:00,2015-09-16 11:00:00,7.256666666666667,189790,323730,regio achtergr
136,pm_fh621,PM10,2015-09-16 10:00:00,2015-09-16 11:00:00,8.856666666666667,196046,322182,stad verkeer
138,pm_fh621,PM10,2015-09-16 10:00:00,2015-09-16 11:00:00,7.15,197186,323567,stad achtergr
230,pm_fh621,PM10,2015-09-16 10:00:00,2015-09-16 11:00:00,8.643333333333333,138429,392187,regio achtergr
235,pm_fh621,PM10,2015-09-16 10:00:00,2015-09-16 11:00:00,14.2433333333333,83562,383318,regio achtergr
236,pm_fh621,PM10,2015-09-16 10:00:00,2015-09-16 11:00:00,7.576666666666666,160917,386626,stad verkeer
237,pm_fh621,PM10,2015-09-16 10:00:00,2015-09-16 11:00:00,9.923333333333334,159007,383897,stad verkeer
240,pm_fh621,PM10,2015-09-16 10:00:00,2015-09-16 11:00:00,11.47,116039,400665,stad verkeer
241,pm_fh621,PM10,2015-09-16 10:00:00,2015-09-16 11:00:00,11.2566666666667,113004,401751,stad achtergr
318,pm_fh621,PM10,2015-09-16 10:00:00,2015-09-16 11:00:00,11.4166666666667,40775,368528,regio achtergr
404,pm_fh621,PM10,2015-09-16 10:00:00,2015-09-16 11:00:00,11.63,79729,454888,stad achtergr
418,pm_fh621,PM10,2015-09-16 10:00:00,2015-09-16 11:00:00,11.2566666666667,92577,436583,stad achtergr
433,pm_fh621,PM10,2015-09-16 10:00:00,2015-09-16 11:00:00,25.4433333333333,82002,436308,stad verkeer
437,pm_fh621,PM10,2015-09-16 10:00:00,2015-09-16 11:00:00,8.43,90372,422407,regio achtergr
444,pm_fh621,PM10,2015-09-16 10:00:00,2015-09-16 11:00:00,9.336666666666666,95216,479092,regio achtergr
445,pm_fh621,PM10,2015-09-16 10:00:00,2015-09-16 11:00:00,14.8833333333333,81555,454630,stad verkeer
446,pm_fh621,PM10,2015-09-16 10:00:00,2015-09-16 11:00:00,10.774347826087,84480,450576,stad achtergr
447,pm_fh621,PM10,2015-09-16 10:00:00,2015-09-16 11:00:00,21.4433333333333,94820,464764,stad verkeer
448,pm_fh621,PM10,2015-09-16 10:00:00,2015-09-16 11:00:00,15.2566666666667,91317,438032,stad verkeer
538,pm_fh621,PM10,2015-09-16 10:00:00,2015-09-16 11:00:00,8.376666666666667,132294,535208,regio achtergr
545,pm_fh621,PM10,2015-09-16 10:00:00,2015-09-16 11:00:00,12.3233333333333,117777,483649,stad verkeer
631,pm_fh621,PM10,2015-09-16 10:00:00,2015-09-16 11:00:00,12.0033333333333,170773,495685,regio achtergr
633,pm_fh621,PM10,2015-09-16 10:00:00,2015-09-16 11:00:00,7.256666666666667,117414,461226,regio achtergr
636,pm_fh621,PM10,2015-09-16 10:00:00,2015-09-16 11:00:00,13.5569565217391,136999,457454,stad verkeer
639,pm_fh621,PM10,2015-09-16 10:00:00,2015-09-16 11:00:00,10.2966666666667,136713,453307,stad verkeer
641,pm_fh621,PM10,2015-09-16 10:00:00,2015-09-16 11:00:00,8.003333333333334,127671,468233,regio verkeer
722,pm_fh621,PM10,2015-09-16 10:00:00,2015-09-16 11:00:00,11.854,238480,456650,regio achtergr
738,pm_fh621,PM10,2015-09-16 10:00:00,2015-09-16 11:00:00,8.153636363636364,177004,458203,regio achtergr
741,pm_fh621,PM10,2015-09-16 10:00:00,2015-09-16 11:00:00,10.1366666666667,187429,428192,stad verkeer
807,pm_fh621,PM10,2015-09-16 10:00:00,2015-09-16 11:00:00,9.123333333333333,224146,489420,regio achtergr
818,pm_fh621,PM10,2015-09-16 10:00:00,2015-09-16 11:00:00,10.2481818181818,197655,518704,regio achtergr
918,pm_fh621,PM10,2015-09-16 10:00:00,2015-09-16 11:00:00,11.5766666666667,167530,547775,regio achtergr
929,pm_fh621,PM10,2015-09-16 10:00:00,2015-09-16 11:00:00,16.0613043478261,259029,544288,regio achtergr
934,pm_fh621,PM10,2015-09-16 10:00:00,2015-09-16 11:00:00,8.376666666666667,214268,594143,regio achtergr
937,pm_fh621,PM10,2015-09-16 10:00:00,2015-09-16 11:00:00,14.35,234601,581901,stad verkeer
