07/18/2015 00:44:30,S.TemperatureAmbient,294237
07/18/2015 00:44:30,S.TemperatureUnit,300775
07/18/2015 00:44:30,S.SecondOfDay,9745
07/18/2015 00:44:30,S.RtcTime,141849
07/18/2015 00:44:30,P.SessionUptime,484442
07/18/2015 00:44:30,P.BaseTimer,28
07/18/2015 00:44:30,P.ErrorStatus,0
07/18/2015 00:44:30,P.Powerstate,79
07/18/2015 00:59:15,P.UnitSerialnumber,3
07/18/2015 00:59:15,S.BottomSwitches,0
07/18/2015 00:59:15,S.RGBColor,0
07/18/2015 00:59:15,S.AcceleroZ,758
07/18/2015 00:59:15,S.AcceleroY,504
07/18/2015 00:59:15,S.AcceleroX,518
07/18/2015 00:59:15,S.LightsensorBottom,31
07/18/2015 00:59:15,S.LightsensorTop,0
07/18/2015 00:59:15,S.Humidity,75911
07/18/2015 00:59:15,S.TemperatureAmbient,294237
07/18/2015 00:59:15,S.SecondOfDay,9774
07/18/2015 00:59:15,S.RtcTime,141878
07/18/2015 00:59:15,P.SessionUptime,484471
07/18/2015 00:59:15,P.BaseTimer,29
07/18/2015 00:59:15,P.ErrorStatus,0
07/18/2015 00:59:15,P.Powerstate,79
07/18/2015 08:38:59,P.UnitSerialnumber,3
07/18/2015 08:38:59,S.BottomSwitches,0
07/18/2015 08:38:59,S.RGBColor,0
07/18/2015 08:38:59,S.AcceleroZ,768
07/18/2015 08:38:59,S.AcceleroY,500
07/18/2015 08:38:59,S.AcceleroX,518
07/18/2015 08:38:59,S.Altimeter,132
07/18/2015 08:38:59,S.Barometer,100929
07/18/2015 08:38:59,S.LightsensorBottom,31
07/18/2015 08:38:59,S.LightsensorTop,0
07/18/2015 08:38:59,S.Humidity,75585
07/18/2015 08:38:59,S.TemperatureAmbient,294237
07/18/2015 08:38:59,S.TemperatureUnit,300775
07/18/2015 08:38:59,S.SecondOfDay,9804
07/18/2015 08:38:59,S.RtcTime,142104
07/18/2015 08:38:59,P.SessionUptime,484501
07/18/2015 08:38:59,P.BaseTimer,28
07/18/2015 08:38:59,P.ErrorStatus,0
07/18/2015 08:38:59,P.Powerstate,79
07/18/2015 08:39:05,P.UnitSerialnumber,3
07/18/2015 08:39:05,S.BottomSwitches,0
07/18/2015 08:39:05,S.RGBColor,0
07/18/2015 08:39:05,S.AcceleroZ,767
07/18/2015 08:39:05,S.AcceleroY,505
07/18/2015 08:39:05,S.AcceleroX,520
07/18/2015 08:39:05,S.LightsensorBottom,31
07/18/2015 08:39:05,S.LightsensorTop,0
07/18/2015 08:39:05,S.Humidity,75854
07/18/2015 08:39:05,S.TemperatureAmbient,294237
07/18/2015 08:39:05,S.SecondOfDay,9834
07/18/2015 08:39:05,S.RtcTime,142134
07/18/2015 08:39:05,P.SessionUptime,484531
07/18/2015 08:39:05,P.BaseTimer,29
07/18/2015 08:39:05,P.ErrorStatus,0
07/18/2015 08:39:05,P.Powerstate,79
07/18/2015 08:39:05,P.UnitSerialnumber,3
07/18/2015 08:39:05,S.Longitude,6083515
07/18/2015 08:39:05,S.Latitude,54467064
07/18/2015 08:39:05,S.SatInfo,348416
07/18/2015 08:39:05,S.O3,127
07/18/2015 08:39:05,S.BottomSwitches,0
