"URI","Label","Definition","Notation","StartDate","EndDate","hasProtectionTarget","hasProtectionTarget","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","recommendedUnit","recommendedUnit","skos:altLabel","skos:altLabel@bg","skos:scopeNote","skos:scopeNote"
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1045","Ammonium in PM2.5 (aerosol)","NH4+ in PM2.5 - recommended unit: µg/m3","NH4+ in PM2.5","2013-09-20","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ug.m-3",,"NH4+ in PM2.5",,"2011/850/EU",
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1046","Nitrate in PM2.5 (aerosol)","NO3- in PM2.5 - recommended unit: µg/m3","NO3- in PM2.5","2013-09-20","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ug.m-3",,"NO3- in PM2.5",,"2011/850/EU",
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1047","sulphate in PM2.5 (aerosol)","SO42- in PM2.5 - recommended unit: µg/m3","SO42- in PM2.5","2013-09-20","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ug.m-3",,"SO42- in PM2.5",,"2011/850/EU",
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1048","Selenium in PM2.5 (aerosol)","Se in PM2.5 - recommended unit: ng/m3","Se in PM2.5","2013-09-20","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ng.m-3",,"Se in PM2.5",,,
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1049","Vanedium in PM2.5 (aerosol)","V in PM2.5 - recommended unit: ng/m3","V in PM2.5","2013-09-20","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ng.m-3",,"V in PM2.5",,,
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1063","Zinc in PM2.5 (aerosol)","Zn in PM2.5 - recommended unit: ng/m3","Zn in PM2.5","2013-09-20","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ng.m-3",,"Zn in PM2.5",,,
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1064","Cobalt in PM2.5 (aerosol)","Co in PM2.5 - recommended unit: ng/m3","Co in PM2.5","2013-09-20","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ng.m-3",,"Co in PM2.5",,,
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1065","Iron in PM2.5 (aerosol)","Fe in PM2.5 - recommended unit: ng/m3","Fe in PM2.5","2013-09-20","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ng.m-3",,"Fe in PM2.5",,,
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1073","Copper in PM2.5 (aerosol)","Cu in PM2.5 - recommended unit: ng/m3","Cu in PM2.5","2013-09-20","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ng.m-3",,"Cu in PM2.5",,,
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/11","Hydrogen sulphide (air)","H2S - recommended unit: µg/m3","H2S","2013-09-20","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ug.m-3",,"H2S",,"Reciprocal exchange",
